Date,Agency,Category,Title,Link
11. August 2026,TÜV SÜD - Healthcare & Medical Devic,Webinar,Regulatory uncertainty doesn't only affect certification.,https://www.linkedin.com/feed/update/urn:li:activity:7492640244740059136/
11. August 2026,European Union Agency for Cybersecurity (ENISA),Webinar,How is the market of cybersecurity assessments doing hashtag,https://www.linkedin.com/feed/update/urn:li:activity:7492640138989309952/
11. August 2026,Sharmila Bhatt,Article,FDA just held a public meeting on the deal that will fund and govern medical device review for fiscal years 2028 through 2032.,https://www.linkedin.com/feed/update/urn:li:activity:7492672263830548481/
11. August 2026,Dr C. Sheela Sasikumar,Infographic, Clinical Trial,https://www.linkedin.com/feed/update/urn:li:activity:7492769047848046592/
11. August 2026,BARBARA PIROLA,Post,FDA UPDATE ABOUT GMP & REGULATORY COMPLIANCE FOR MEDICAL DEVICES Part 4/4 This is the final post in my series on FDA's updated Applying Human Factors and Usability Engineering to Medical Devices guidance.,https://www.linkedin.com/feed/update/urn:li:activity:7492781356817551361/
11. August 2026,European Directorate for the Quality of Medicines & HealthCare (EDQM),Report,"European Directorate for the Quality of Medicines & HealthCare (EDQM), Council of Europe Certification Monthly Report End of July 2026",https://www.linkedin.com/feed/update/urn:li:activity:7492791913851297792/
11. August 2026,Bhaskar Napte,Webinar,Regulatory timelines confuse almost everyone starting out in US drug regulatory affairs.,https://www.linkedin.com/feed/update/urn:li:activity:7492791237469532160/
11. August 2026,MedTech Leading Voice,Article,The MedTech audit before the audit with Danny Kroo: most internal audit schedules run in the order the processes appear in the quality manual.,https://www.linkedin.com/feed/update/urn:li:activity:7492797223886372864/
'11. August 2026,European Medicines Agency,Post,Implementing Shortage Prevention Plans (SPP),https://www.linkedin.com/feed/update/urn:li:activity:7492807049190506496/
'11. August 2026,Dr. Sachin Potawale,Post,Certificate Course in Drug Regulatory Affairs (DRA).,https://www.linkedin.com/feed/update/urn:li:activity:7492813818402680832/
'11. August 2026,SHRUTIKA AGRE,Post,Certificate Course in Drug Regulatory Affairs (DRA).,https://www.linkedin.com/feed/update/urn:li:activity:7492821270359711744/
'11. August 2026,Juliana Hechanova,Post,Still spending hours writing SOPs from scratch?,https://www.linkedin.com/feed/update/urn:li:activity:7492844612533825538/
'11. August 2026,MediKoz UTS ve SGK,Post,hashtag CEmark,https://www.linkedin.com/feed/update/urn:li:activity:7492865623690039296/
'11. August 2026,Maurice Rouillard,Post,"Leveraging MDSAP to Structure Quality Management, Audits and Conformity Control under the EU Medical Device Regulation (2017/745)",https://www.linkedin.com/feed/update/urn:li:activity:7492869581804380160/
'11. August 2026,Pharmaguide Hub,Post,FAILURE MODE EFFECT ANALYSIS REPORT FOR FIFO/FEFO SYSTEM IN WAREHOUSE hashtag,https://www.linkedin.com/feed/update/urn:li:activity:7492869002113945601/
'11. August 2026,Brian Newbery,Post,"How to prepare for ISO 13485:2016 Certification Audits, and should certification be considered for those companies that have transitioned to the QMSR?.",https://www.linkedin.com/feed/update/urn:li:activity:7492885227053195264/
